die_id,original_table_no,die_planning_phase_steps,arrival_at,vn_production_dimensional_inspection_at,vn_qa_dimensional_inspection_at,submit_dimensional_inspection_to_japan_at,jp_dimensional_inspection_at,jp_dimensional_inspection_document_number,anodizing_quality_check_required_flag,anodizing_quality_check_at,mass_production_trial_at,die_handover_at,mass_production_start_at,production_site_change_notice,dimensional_inspection_by,BCP,die_transfer_ready_flag,memo
5,1,1,20/01/01,21/05/21,21/05/21,21/06/30,21/06/23,,,,21/06/17,21/06/30,21/07/01,vol.001,,,,
38,2,1,20/01/01,21/06/18,21/06/28,21/06/30,21/08/05,,,,21/07/21,21/09/25,21/10/01,vol.002,,,,
13,3,1,20/01/01,21/05/21,21/05/21,21/06/30,21/06/23,,,,21/06/15,21/06/30,21/07/01,vol.001,,,,
12,4,1,20/01/01,21/05/21,21/05/21,21/06/30,21/06/23,,,,21/06/15,21/06/30,21/07/01,vol.001,,,,
14,5,1,20/01/01,21/05/21,21/05/21,21/06/30,21/06/23,,,,21/06/17,21/06/30,21/07/01,vol.001,,,,
40,6,1,20/01/01,21/06/15,21/06/15,21/07/31,21/06/28,,,,21/07/19,21/10/28,21/08/01,vol.001,,,,
41,7,1,20/01/01,21/12/04,21/12/17,21/07/31,22/01/20,,,,22/01/20,22/01/25,22/02/01,vol.005,,,,
36,8,1,20/01/01,21/08/28,21/09/09,21/07/31,21/10/01,,,,21/10/18,21/10/28,22/11/01,vol.003,,,,
25,9,1,20/01/01,21/09/03,21/09/09,21/07/31,21/10/01,,,,21/09/07,21/10/28,22/11/01,vol.003,,,,
26,10,1,20/01/01,21/06/09,21/06/29,21/07/31,21/08/05,,,,21/09/03,21/09/25,22/11/01,vol.003,,,,
44,11,1,20/01/01,21/06/15,21/06/15,21/08/31,21/06/28,,,,21/08/12,21/09/25,22/11/01,vol.002,,,,
16,12,1,20/01/01,21/08/24,21/09/09,21/08/31,21/10/01,,,,21/09/21,21/10/28,22/11/01,vol.003,,,,
42,13,1,20/01/01,21/06/14,21/06/14,21/08/31,21/07/30,,,,21/07/16,22/05/10,22/11/01,vol.002,,,,
43,14,1,20/01/01,21/06/15,21/06/15,21/08/31,21/06/28,,,,21/07/01,21/08/02,22/11/01,vol.001,,,,
37,15,1,20/01/01,21/12/04,21/12/17,21/08/31,22/02/04,,,,22/03/18,22/05/12,22/11/01,vol.013,,,,
39,16,1,20/01/01,21/06/14,21/06/14,21/09/30,21/07/30,,,,21/07/16,22/05/10,22/11/01,vol.002,,,,
20,17,1,20/01/01,21/06/15,21/06/15,21/09/30,21/06/28,,,,21/06/29,21/08/02,22/11/01,vol.001,,,,
2,18,1,20/01/01,21/08/21,21/09/09,21/10/31,21/10/01,,,,21/10/14,21/10/22,22/11/01,vol.003,,,,
3,19,1,20/01/01,21/08/21,21/09/09,21/10/31,21/10/01,,,,21/10/14,21/10/22,22/11/01,vol.003,,,,
4,20,1,20/01/01,21/08/31,21/09/09,21/10/31,21/10/01,,,,22/03/10,21/10/22,22/04/01,vol.007,,,,
49,21,1,20/01/01,21/09/10,21/10/12,21/10/31,21/10/29,,,,22/01/19,21/11/24,22/02/01,vol.005,,,,V02Dで開始
15,22,1,20/01/01,21/09/03,21/09/09,21/11/30,21/10/01,,,,21/11/17,21/11/24,22/12/01,vol.004,,,,
7,23,1,20/01/01,21/08/10,21/08/14,21/11/30,21/08/31,,,,21/11/17,21/11/24,22/12/01,vol.004,,,,
8,24,1,20/01/01,21/09/23,21/10/12,21/11/30,21/10/25,,,,21/11/17,21/11/24,22/12/01,vol.004,,,,
27,25,1,20/01/01,21/07/01,21/07/21,21/11/30,21/08/05,,,,21/08/24,21/09/25,21/10/01,vol.002,,,,
28,26,1,20/01/01,21/06/11,21/06/28,21/11/30,21/08/05,,,,21/07/20,22/05/10,21/10/01,vol.002,,,,
45,27,1,20/01/01,21/06/08,21/06/21,21/08/31,21/07/20,,,,21/07/27,21/08/11,21/09/01,vol.002,,,,
46,28,1,20/01/01,21/06/07,21/06/21,21/08/31,21/07/20,,,,21/07/30,21/08/11,21/09/01,vol.002,,,,
35,29,1,20/01/01,21/09/10,21/10/12,21/12/31,21/11/24,,,,22/03/03,22/01/06,22/03/01,vol.006,,,,3/3量産テスト（2/28修理後OK）
17,30,1,20/01/01,21/09/10,21/10/12,21/12/31,21/11/24,,,,21/12/13,21/12/20,22/01/01,vol.005,,,,
18,31,1,20/01/01,21/10/16,21/10/21,21/12/31,21/11/25,,,,21/12/13,21/12/28,22/01/01,vol.005,,,,
19,32,1,20/01/01,21/09/14,21/10/12,21/12/31,21/11/24,,,,22/01/17,22/01/06,22/01/01,vol.005,,,,
6,33,1,20/01/01,21/09/09,21/10/12,21/12/31,21/11/12,,,,21/12/13,21/12/20,22/01/01,vol.005,,,,
9,34,1,20/01/01,21/10/16,21/10/21,21/12/31,21/11/25,,,,21/12/13,21/12/20,22/01/01,vol.005,,,,
10,35,1,20/01/01,21/09/09,21/10/12,21/12/31,21/11/12,,,,22/01/04,22/01/06,22/01/01,vol.005,,,,1/10初回量産
11,36,1,20/01/01,22/06/15,22/07/21,21/12/31,22/08/05,,,,,23/01/03,22/08/01,vol.013,,,,V02で開始
24,37,1,20/01/01,21/06/25,21/06/29,21/09/30,21/07/30,,,,21/08/03,21/09/25,21/10/01,vol.002,,,,
21,38,1,20/01/01,21/06/25,21/06/29,21/09/30,21/07/30,,,,21/07/06,21/09/25,21/10/01,vol.002,,,,
22,39,1,20/01/01,21/08/10,21/08/14,21/09/30,21/09/02,,,,21/11/17,21/11/24,21/10/01,vol.004,,,,
